place,score
카페피트스탑,176.0753028
동래밀면 본점,171.7743425
홍성방,167.7262624
철마본가한우,154.4622698
만빙고 밀면우동제면소,137.4702554
가가와,108.2682856
이재모피자,106.3299462
백호상회,102.5058559
박가네언양불고기,100.1272669
합천일류돼지국밥 사상점,99.20895542
